image_name,angles
stars-262.png,"[158.49728817808133, 37.491037405051785, 44.227431020758324, 36.397839090659666, 15.266536753825957, 66.90954374906438]"
stars-1327.png,"[91.08624635277916, 121.07099960327639, 130.95030417921376, 3.725738258373816, 75.57728568612218, 37.88291470554702]"
stars-1456.png,"[56.218400050746915, 13.183425487620081, 124.47758878165067, 47.225266248512455]"
stars-791.png,"[75.82495067043415, 31.46460175774818, 71.66602849858701, 2.9785454162648275, 31.169722591226577, 29.788397070483818]"
stars-2467.png,"[41.44426221026653, 52.729295432005415, 32.34734399547109, 116.73057557706251, 6.1576330056439375]"
stars-1664.png,"[13.96771175848295, 99.38573227086397, 31.095946379661857]"
stars-048.png,"[89.67871202329039, 64.8556549309915, 73.95824231355358, 25.357644021033746, 4.691902438340802, 68.11403036623865]"
stars-1661.png,"[68.62000188725933, 27.40757543781842]"
stars-2018.png,"[7.746579872518576, 6.790353039417051, 22.17300579874818, 79.6075328559616, 67.2870301387638, 94.21417852273404]"
stars-2210.png,"[29.498359850909402, 117.09583821548678, 126.2597719373788, 157.84298421846574, 87.67225678899493, 161.51774051716203]"
stars-700.png,"[77.71038687397069, 49.73345642669205, 54.06101094696204, 32.74648765252506, 135.77321833783515, 70.40248747534108]"
stars-154.png,"[16.606804216079077, 9.983260868280368, 37.30306966975703, 136.42673238573147, 91.59994770127547, 133.64595542199524]"
stars-2365.png,"[77.61086127642825, 171.05703669815088, 70.23887154469602, 58.99087742350101, 11.072151561786468, 58.60213240220002]"
stars-1454.png,"[107.74467162505692, 60.069381911804875, 12.040894166666542, 19.43898297528238, 66.30180844153217, 74.03160305238511]"
stars-2443.png,"[87.08916217383225, 82.85014803084479, 60.2910333115047, 96.0795889578385, 158.8707668872219, 2.694284289856061]"
stars-857.png,"[41.09174814807244, 26.71290600518891, 100.26093201984615, 25.996650263607435, 25.557679557515428, 90.69836367284506]"
stars-137.png,"[4.26398446010633, 100.27193223852392, 65.45994132982676]"
stars-2378.png,"[50.74540183476339, 99.3300123587012, 78.56631873457331, 147.23737695941313, 11.30409013902335, 17.39851939655318]"
stars-2463.png,"[47.29005378373569, 40.118526006311875, 33.70973145640057, 36.776471090685334, 0.12707464726086393, 22.948502722245117]"
stars-967.png,"[142.14487545774674, 93.25392222569128, 25.792416794764492, 64.57824597299627, 7.998052392481907]"
stars-399.png,"[56.20668661207676, 86.94560716049953, 46.66994308986829, 59.150844163168514, 85.74360145719557, 12.644710146344437]"
stars-1478.png,"[95.35967511286893, 45.68054147073708, 5.961351141998274, 7.322531240104762, 117.96372760740137, 103.88657418938669]"
stars-1607.png,"[21.80001896355458, 45.117052609607725]"
stars-1300.png,"[3.742854268747634, 77.54664288809367, 55.97236081785809, 87.5261980616356, 85.35492157410839, 10.046451412871177]"
stars-370.png,"[92.84047233122791, 5.797857392037624, 42.42418308207241, 51.288471431818365, 65.53154588548091, 122.88914964653472]"
stars-1669.png,"[95.80528467694275, 22.528379416848207, 37.660469099275396, 145.68624237873883, 82.8473019783612]"
stars-2298.png,"[162.3503583726238, 43.03668181373956]"
stars-096.png,"[56.244343073376676, 2.765271222191779, 2.238363312871794]"
stars-263.png,"[33.12152992001961, 46.49168375160782, 42.22796213670153, 62.301932267297005, 65.32403562364526, 2.202598161765967]"
stars-794.png,"[10.75588390456262, 22.876375506705656, 0.07328083503973973, 40.290993974716145, 15.019760032008278]"
stars-335.png,"[9.349801183173946, 4.480660482766481, 123.25631560963028, 22.39544696274017, 112.90141970458453, 82.48031995334833]"
stars-2352.png,"[1.5814011759510882, 7.887355233073188, 29.657153050619808, 96.75817133576416, 31.355559279753766, 109.3062874109998]"
stars-1234.png,"[13.935341113454928, 39.08244424756926, 127.26640190097714, 92.97162779751393, 96.91853297622373, 25.80558242706119]"
stars-850.png,"[172.52204484443328, 43.20909169923341, 15.493966056573116, 44.36561877826413, 93.25408635731343, 36.57727005165264]"
stars-714.png,"[13.335353320161834, 8.43883727060659, 84.14318892303359, 73.88389241548184, 62.0657119224666, 78.51116513064308]"
stars-410.png,"[48.28739439835197, 29.595280641747667, 23.611021193855105, 64.34357031725766]"
stars-634.png,"[72.44965686008709, 24.95335445519952, 72.54513985326588, 23.434275650975312, 117.60477922444765, 43.077682589227784]"
stars-1943.png,"[39.0765985223856, 1.273320139958569, 150.66056124465902, 38.64977484564472, 0.8624609833682652, 25.778987561461438]"
stars-405.png,"[69.57818200000058, 122.13449417759591, 34.81362486306769, 53.101589900917126, 123.218555296097, 140.42096635359414]"
stars-1523.png,[]
stars-2319.png,"[91.75394288964301, 14.600479031437306, 73.67068899913838, 14.091390191400741, 30.288360018514922, 52.5495128059943]"
stars-271.png,"[50.43710700683279, 29.29602587294099, 81.36898925135043, 78.90809363703328, 26.737463069383892, 35.31515793582421]"
stars-1840.png,"[49.1334726477517, 49.40283009839772, 13.480351775721791, 20.55158813577069, 91.90406282090193]"
stars-1743.png,"[15.618935659098893, 14.880645291442972, 114.49506456274425, 22.59961251717129]"
stars-1858.png,"[19.517909277335775, 11.794781914708205, 35.41158934435284, 13.940346368900942, 37.193979175126294, 61.39835340052866]"
stars-1301.png,[82.82029694741654]
stars-2224.png,"[53.456072996716806, 33.07150210406625, 81.89185631323151, 59.21561637581812, 84.21999439989987, 100.63400366407905]"
stars-1155.png,"[31.880481068441753, 27.31164407951194, 87.532309769537, 60.89212558641305, 12.821829960151495, 1.1951488725148576]"
stars-781.png,"[72.35905632469779, 79.76457651847367, 76.14456390563613, 41.85225038043011, 100.3713255720264, 31.667840825031416]"
stars-1151.png,"[134.63146447672835, 14.021232222795277, 59.03953758303928, 45.47686568650879, 31.371150141923028, 4.573921259900977]"
stars-1832.png,"[179.0156235319047, 30.354086738852185, 57.75964093259574, 148.03418450605278]"
stars-681.png,"[164.32047587758075, 132.87890360333856, 64.40150371124562, 77.74705101631854, 0.6470470363058985, 64.83063509589961]"
stars-1162.png,"[148.09771534238635, 36.85343279890592, 65.44554951024514]"
stars-864.png,"[85.41993559495495, 0.7048742446205932, 24.992579717268075, 10.767826559847888, 67.61573797751043, 67.82564136977071]"
stars-1855.png,[]
stars-289.png,"[71.62480349872378, 1.2172049016377267, 88.3692439254986, 77.09259132873416, 117.36220313370144, 49.32754818900478]"
stars-004.png,"[15.751315606650214, 53.211111438321275, 107.18268230557798, 36.51019792611032, 43.140549622684155]"
stars-1878.png,"[83.09242389568043, 144.95807059846098, 83.81798265235898, 49.334029036903765, 44.31541057493731, 100.56341912256627]"
stars-1250.png,"[29.57901428094263, 6.081714965170445, 68.03698168736325, 9.702072109467387]"
stars-1542.png,"[168.89701545260766, 35.057480065097074, 65.22317055227238, 21.37062226934318]"
stars-1190.png,"[44.760244271721696, 2.288072086362056, 24.85405742119457, 52.59692041770371, 136.6358306351251, 92.46326253115765]"
stars-2189.png,"[79.06844916822904, 38.28494452211331, 77.77752498824366, 68.98378707020002, 58.912165840297085, 8.182984649192852]"
stars-1054.png,"[39.16070798345703, 28.222578449297075, 36.83046490636239, 57.809732698178586, 38.9676213522653, 123.52213394044009]"
stars-1611.png,"[56.217073293460686, 12.40888581809078, 32.03191397504458, 77.42390885680884, 35.94694717678628, 1.9471165562143609]"
stars-2462.png,"[95.41757152656989, 25.588016913023136, 140.9830040517224, 7.091464131497812, 7.554205324360488]"
stars-811.png,"[106.34961964464378, 40.61381922499582, 115.77629803492307, 164.3693939000983, 18.9293676360582, 65.54729643670551]"
stars-1691.png,"[58.172449507460485, 59.882785068354224, 0.461692415183099]"
stars-1135.png,"[75.43115804473493, 109.25194556014654, 56.99083497903925, 113.68875157418427, 73.53611074142904, 13.082782475911621]"
stars-232.png,"[38.934248279125, 24.402731418572543, 56.75672865743298, 32.58013778870894, 46.025428062845414, 18.8462439339583]"
stars-1969.png,"[31.672798582223553, 3.0917414399145713, 22.25869289834125]"
stars-765.png,"[84.14525857682703, 54.40235232991544, 70.60660950976006, 145.47747538519516, 98.20729413653909, 48.90996842574884]"
stars-2197.png,"[110.8224700762992, 115.3461759419467, 22.588726831179557, 80.27438818543769, 0.9150410999729646, 72.24916807883687]"
stars-1181.png,"[57.68988579327386, 17.10653766362612, 68.34925089792584, 77.1611106817882]"
stars-1620.png,"[85.41993559495495, 0.7048742446205932, 24.992579717268075, 10.767826559847888, 67.61573797751043, 67.82564136977071]"
stars-2290.png,"[13.18009234164036, 177.9249736385828, 126.75928817029212, 98.80910369438728, 58.31740351266479, 70.5922321064975]"
stars-488.png,"[7.445731760058971, 122.25292371047631, 3.3723928525846825, 111.17219276395463, 29.61662167115145]"
stars-829.png,"[108.65998735636593, 58.85995942002383, 4.820268429896684, 91.41098106852733, 132.33038596466966, 33.05479613426395]"
stars-1706.png,"[145.94761827737335, 49.1704188654567, 125.83445577731544]"
stars-2223.png,"[31.841625681182446, 69.51238576270795, 91.8375343233967]"
stars-1683.png,"[74.22398210258459, 2.0994867249744913, 44.130065864370955, 28.135110798484366, 71.18702579196945]"
stars-2582.png,"[122.31982829221141, 10.953112837415478, 44.082733811483656, 30.626682632915536]"
stars-1286.png,"[70.5074932951999, 10.92634272275119, 93.46642702716454, 89.02263505064792, 143.27061439676288, 52.72142704154376]"
stars-343.png,"[14.306322583106295, 41.46799489765401, 5.83632502708607, 2.14621938916211, 57.659171072073065, 54.54502333396637]"
stars-478.png,"[5.662654344893775, 79.50568389250631, 84.92898748359151, 86.3918369973347, 78.66345546123621, 56.14288985833932]"
stars-2149.png,"[33.833997918107386, 37.148242997274245, 18.775691861446756, 68.51475732744926, 2.771396764727951, 91.28693431370381]"
stars-2105.png,"[49.248891990034274, 114.3325286682417, 2.889691467326214]"
stars-2398.png,"[41.51662727788741, 62.9054119991214, 3.286263724338753, 60.41062679472297, 72.85682756083902, 2.2377591006490922]"
stars-1479.png,"[6.614661181820947, 119.31129051622763, 0.46945558197440124, 62.017125540775126]"
stars-1742.png,"[53.52110191246751, 116.76017779231324]"
stars-409.png,"[12.242732318993781, 127.69031478590146, 50.27672039499668, 25.768651378979076, 0.9454239608309821, 59.518869289483014]"
stars-2480.png,"[156.3194744065332, 0.3357455304270647, 115.14858693840273, 50.03805957080289, 33.59431305175407, 66.1195477520742]"
stars-1434.png,"[47.73715630506069, 88.50253609501863, 83.38090025083643, 37.99988335304652, 135.84074068092494, 23.065319281131032]"
stars-381.png,"[145.57905080309249, 0.4717123691677173, 68.75418894427068, 45.75154573657563, 26.583605509173275]"
stars-1652.png,"[179.02039997660506, 98.30840814632106]"
stars-2136.png,"[57.25099742785572, 88.45305945242669]"
stars-1016.png,"[15.587628086932085, 170.74589081687, 46.405160592022526, 172.53091923307977]"
stars-438.png,"[139.1131862207513, 64.51040301223182, 19.601134033623005, 62.9393557729502]"
stars-1722.png,"[16.64064664041187, 128.23655256818301]"
stars-1208.png,"[63.9849759658677, 51.066951544668896, 16.05491049541744, 0.38829376595441717]"
stars-123.png,[90.20076606070369]
stars-2115.png,"[40.297456238183926, 102.15836602064113, 45.18505804610658, 21.421929669086644]"
stars-1615.png,"[9.107800138362917, 19.863897816187198, 176.86463559024838, 23.334586514610066, 156.62204045846445, 85.26507672568333]"
stars-1136.png,"[101.81304064670736, 13.352194136848597, 44.6312800164169, 38.54566360635977, 81.49749180674391]"
stars-2028.png,"[49.24121122427915, 56.60735294220513, 17.35371482663339, 91.45145498584988, 104.92860251825668, 16.18333441747181]"
stars-243.png,[112.13412898243301]
stars-1515.png,"[77.94589714229932, 61.56266830631271, 93.19654905125813, 92.38831199035329]"
stars-2343.png,"[16.232716484812972, 98.01080410243226, 7.507147528280861, 2.3830160802066045, 23.92867966452195]"
stars-492.png,"[5.207464443058531, 99.84043447253397, 74.71898233816356, 22.248750158415753, 54.60667227514439, 55.655557765206616]"
stars-1904.png,"[38.61583606048754, 10.891245709959398, 124.32872441817281, 51.528206897672625, 59.89260259991238, 2.3147612874014847]"
stars-1068.png,"[114.34208409724336, 46.01519337021684, 153.38055555175305, 115.16221609541249, 91.19618704756923]"
stars-1025.png,"[16.812458156084627, 2.607119871322375, 127.8306080145604, 57.38455157626839, 125.7425996478764, 69.08397846673029]"
stars-2205.png,"[66.29411603181298, 16.184420388199555, 73.54415137842294, 59.64544862984962, 158.16318240189457, 68.03985145004751]"
stars-2128.png,"[126.71020614050617, 26.38557136645996, 156.69462373716243]"
stars-1640.png,"[133.33426948855654, 68.60607373905437, 86.91594988277411, 24.557543752176233, 166.30523592219612, 50.17698550066878]"
stars-1443.png,"[42.957072549718035, 132.62996527655864, 72.09740486512536, 18.465837306488453]"
stars-934.png,"[8.4584053292048, 142.6911212978336, 53.20209266896214, 67.46594784478341, 83.98711563057658]"
stars-2556.png,"[85.41993559495495, 0.7048742446205932, 24.992579717268075, 10.767826559847888, 67.61573797751043, 67.82564136977071]"
stars-1125.png,"[70.28689570642219, 33.059425756340865, 20.056260997292526, 53.69824045030584, 55.783716792143885, 60.00322907623576]"
stars-749.png,"[0.9073543138333577, 16.70874917410436, 146.0774549022135, 66.06146188401829, 43.65668738896309, 3.6250269887640765]"
stars-264.png,"[62.128702022875096, 17.992168768932466, 136.1192896042674, 55.344506991175095, 2.1636631598826126, 19.4365899159922]"
stars-1708.png,"[7.752783509315622, 30.928509989670953, 79.45614657769775, 49.45358715564687, 93.80125615828808]"
stars-813.png,"[27.474477997111308, 12.343618529209145, 13.569524846729959, 136.08624341949576, 54.835059009727175]"
stars-2142.png,"[51.915970108434834, 45.04630495517781, 139.52001163221217, 20.273884044138896, 132.34404809415696]"
stars-150.png,"[69.72941839231957, 59.88245826936559, 98.1289388581411, 145.26320818217818, 54.76232280603893, 98.81085440856585]"
stars-033.png,"[44.597474025473325, 24.13810671879553, 9.043737591332773, 56.435857061406494, 135.8522710456616, 99.3325801045105]"
stars-2338.png,"[24.476544569007828, 29.729199246300915, 27.153314432405836]"
stars-603.png,[]
stars-684.png,"[85.41993559495495, 0.7048742446205932, 24.992579717268075, 10.767826559847888, 67.61573797751043, 67.82564136977071]"
stars-2113.png,"[149.56668297744883, 56.73750062104898, 53.08996401101433, 6.537572889305361, 90.32485762867468]"
stars-2297.png,"[3.9217415862814913, 73.01550581014081, 75.86048760789762, 11.283454268133108, 4.637951473459058, 10.444285477691686]"
stars-1018.png,"[64.3801646519383, 83.63449614108919, 7.391975978617109, 53.35985383604248, 56.05994692839478, 1.2136940077847338]"
stars-006.png,"[0.3896206438651983, 20.138732547391896, 15.856928374387286, 60.91590127889919, 89.90321668071282, 42.19524466913674]"
stars-148.png,"[19.451756372207164, 36.8184363897645, 100.80581939532337, 40.07266249082346]"
stars-1849.png,"[33.211205395937455, 10.837508901252304, 60.47297232815494, 100.65887209379073, 74.26152004619472, 133.865578369023]"
stars-2573.png,"[19.852748166451505, 8.502044641682204, 6.086863966515606, 174.45733559414478]"
stars-1128.png,"[87.99197660472285, 44.112624227310604, 47.34454076868724, 40.31318548218687, 40.515462815669345, 19.139893885127428]"
stars-1144.png,"[20.949278355548973, 17.29631026428969, 26.44550958666373, 33.291696358202216, 23.679643229665153, 138.43962981323662]"
stars-1731.png,"[5.6070901196515255, 9.162425181799627, 66.58695503350734, 15.20281529934448, 83.32380069271119, 130.71195341896694]"
stars-2545.png,"[4.731816598916975, 98.15448353545588, 142.03846161257908, 145.3983338565455, 77.37930029104827, 26.105615166381522]"
stars-2263.png,"[41.28592053917736, 32.199305057707164]"
stars-1103.png,"[101.5028540249228, 48.29438124509894]"
stars-319.png,"[14.969674211693212, 24.64872524968982, 95.77872733794017, 87.09398275150659, 54.13961513677236, 53.547289348323524]"
stars-573.png,"[28.35779049448156, 4.567468782938404, 64.96719034572241, 132.52811863758777, 18.37873677773284]"
stars-342.png,"[15.161254735427075, 4.620192501512448, 41.488976483692355, 117.13395277675649, 72.57757984449596]"
stars-2229.png,"[9.014327875028194, 62.98166192176251, 55.942971338682135, 71.42197759703598, 116.59853463260963]"
stars-1591.png,"[34.81641754949843, 47.07560551339533, 24.458410370274358, 55.880428103652065, 7.9727585140715655, 82.70979527482895]"
stars-2180.png,"[42.23688757503709, 146.5747268906286, 33.22836115590702]"
stars-1597.png,"[3.876265918036657, 92.32515741412178, 38.11836236709624, 79.06948413648965, 79.42673560001934, 51.71870258727643]"
stars-1449.png,"[98.32381386837699, 92.62822085708238, 9.171283800064776, 64.93806018543376, 76.93022823775723, 62.522683136555976]"
