image_name,angles,polygon_angles
stars-397.png,"[159.62496677969597, 8.281129115571517, 98.87077382949116, 146.28979689955025, 18.93192577235624, 33.865457439915765]","[64.30593242790734, 159.62496677969597, 56.2406880628552, 39.07834628893342, 40.45098242161267, 146.28979689955025, 79.17179661331235, 26.667017864625212]"
stars-269.png,"[75.97772408580487, 110.53990329029844, 66.8977269703327, 104.35445186892886, 16.54562400643701, 115.35872207877215]","[96.27402272634538, 77.20834989755133, 110.53990329029844, 75.97772408580487, 135.939887227155, 37.126789154819846, 115.35872207877215, 16.54562400643701]"
stars-436.png,"[13.763922931186302, 40.084154534743575, 55.484510113106076, 27.23717133144194, 119.95103482544557, 95.27917931776192]","[93.16963151201305, 154.66068500635163, 26.50640659211925, 34.984646902219325, 85.43945431342162, 52.59247908775706, 26.863164525364873, 5.983810700299669]"
stars-2218.png,"[9.698229985576557, 49.89482717735175, 43.24041822304207, 145.423717210066, 111.09595620696606, 55.64873532629188]","[61.30992078696713, 110.1706534118504, 5.15208170220624, 54.012814327089494, 159.2148491143062, 142.22432922214244, 33.18449774422359, 25.37632391932782]"
stars-2137.png,[9.034848108448793],"[163.90452341074385, 9.034848108448793, 7.060628480807408]"
stars-1756.png,"[51.5520887672527, 30.983840638158515, 51.23628104560445, 121.53907577229158, 99.36194090186203]","[21.764181495122827, 158.6263867551971, 89.10040445267516, 47.761800807399126, 66.37808221274383, 56.892260581357185, 56.72965720589901]"
stars-701.png,"[15.534002685280313, 38.65980825409008, 82.11509919959533, 116.6939503510958, 60.702351031245016, 21.31099616263471]","[66.27052974289674, 163.70976690602882, 72.03355334537738, 57.98615000569711, 43.852663618423904, 111.43472542382742, 23.096236113673335, 90.67829791907683]"
stars-799.png,"[55.78936582381077, 108.53781366664603, 61.38459678102608, 49.49593874139811, 24.433173075131272, 92.45061152823557]","[131.33565052509104, 64.33716998445217, 108.53781366664603, 55.78936582381077, 114.25703377205018, 2.626750831316685, 92.45061152823557, 24.433173075131272]"
stars-264.png,"[62.12870202287508, 17.992168768932448, 136.11928960426744, 55.34450699117509, 2.1636631598824443, 19.4365899159922]","[117.20462066184184, 38.96332828921712, 139.36846734286974, 16.799481608189208, 12.114152935050914, 11.560432072190597, 11.883697337991451, 11.329976475131186]"
stars-1763.png,"[15.164905202491605, 1.6361979514417768, 28.329908229129284]","[88.33827677029187, 34.26611418131475, 107.43948574911501, 15.164905202491605]"
stars-1635.png,"[33.766502342072116, 81.520390355055, 29.409872681618484, 1.5184970953193384, 92.55675449072874, 117.1886526437105]","[134.31749902961863, 99.49987242682867, 84.53945796466691, 41.64317057888581, 9.319576854935264, 29.409872681618484, 1.5184970953193384, 21.6087929220028]"
stars-2046.png,"[74.40881616926518, 35.701060181300505, 1.872764263638237, 69.35556953696882, 37.58414462874766, 137.2116239350395]","[114.36912938271166, 37.56179414449763, 150.41922743684697, 1.5116960903620191, 9.851519906680373, 16.83114132658856, 16.367584564296664, 10.315076668972269]"
