image_name,angles,polygon_angles
stars-397.png,"[159.62496677969597, 8.281129115571517, 98.87077382949116, 146.28979689955025, 18.93192577235624, 33.865457439915765]","[42.59668372217931, 161.30266601104483, 108.0698300923602, 48.03082017441566, 3.9249800414536136, 19.792944853080765, 159.62496677969597, 176.6571083257697]"
stars-269.png,"[75.97772408580487, 110.53990329029844, 66.8977269703327, 104.35445186892886, 16.54562400643701, 115.35872207877215]","[44.89543934229124, 120.67610414902282, 158.13699392331233, 36.29146258537364, 96.27402272634538, 75.97772408580487, 110.53990329029844, 77.20834989755133]"
stars-436.png,"[13.763922931186302, 40.084154534743575, 55.484510113106076, 27.23717133144194, 119.95103482544557, 95.27917931776192]","[66.56561912686745, 95.27917931776192, 119.95103482544557, 78.20416672992506, 64.23067237566129, 89.44909602078144, 139.26619308464734, 67.05403851890995]"
stars-2218.png,"[9.698229985576557, 49.89482717735175, 43.24041822304207, 145.423717210066, 111.09595620696606, 55.64873532629188]","[25.693954401280003, 111.09595620696606, 174.39072555355418, 48.81936383819974, 58.89311120159759, 111.70855687395266, 47.17400270230735, 142.22432922214244]"
stars-2137.png,[9.034848108448793],"[9.034848108448793, 7.060628480807408, 163.90452341074385, 0, 0, 0, 0, 0]"
stars-1756.png,"[51.5520887672527, 30.983840638158515, 51.23628104560445, 121.53907577229158, 99.36194090186203]","[49.73331273353899, 154.01870730585122, 99.36194090186203, 56.886039058747784, 42.14795304004215, 91.71736818543327, 46.134678774524616, 0]"
stars-701.png,"[15.534002685280313, 38.65980825409008, 82.11509919959533, 116.6939503510958, 60.702351031245016, 21.31099616263471]","[46.98730285028125, 81.86059185097488, 137.53076301763542, 93.62134228110845, 105.12160651668141, 80.9104378991167, 75.96375653207352, 98.00419905212836]"
stars-799.png,"[55.78936582381077, 108.53781366664603, 61.38459678102608, 49.49593874139811, 24.433173075131272, 92.45061152823557]","[56.775321169975086, 109.60703639138951, 106.71479472336972, 86.90284771526568, 75.41304810487621, 38.519130227382085, 66.0678216677417, 0]"
stars-264.png,"[62.12870202287508, 17.992168768932448, 136.11928960426744, 55.34450699117509, 2.1636631598824443, 19.4365899159922]","[29.552600841123088, 149.89367829601665, 151.77359353084026, 28.78012733202, 51.61104800997327, 27.983812936374132, 153.34552097698327, 127.05961807666934]"
stars-1763.png,"[15.164905202491605, 1.6361979514417768, 28.329908229129284]","[76.86052225162892, 28.329908229129284, 134.38741905805657, 120.42215046118523, 0, 0, 0, 0]"
stars-1635.png,"[33.766502342072116, 81.520390355055, 29.409872681618484, 1.5184970953193384, 92.55675449072874, 117.1886526437105]","[65.41110900574547, 84.8434838598153, 117.1886526437105, 92.55675449072874, 73.7765579039397, 81.520390355055, 33.766502342072116, 170.93654939893324]"
stars-2046.png,"[74.40881616926518, 35.701060181300505, 1.872764263638237, 69.35556953696882, 37.58414462874766, 137.2116239350395]","[53.22348236335552, 85.98662657894708, 137.2116239350395, 83.57826712265789, 74.40881616926518, 73.95798731419642, 64.1002647319954, 147.53293178454302]"
stars-2259.png,"[30.212565686621463, 9.15336284211144, 33.094497110238, 4.213200553447373, 22.986800335119458]","[80.32614443196765, 104.13963894199912, 163.01294316169754, 12.521273464335687, 34.27915760156343, 115.97817511332092, 29.742667285115683, 0]"
stars-1002.png,"[74.73397849555717, 172.49770776521095, 74.15435539894312, 101.45502615913583, 112.31432464302404, 36.33384360216438]","[61.00962702536666, 166.2179103929738, 101.45502615913583, 31.31743642252372, 22.755994787246166, 82.51002671719664, 74.73397849555717, 0]"
stars-1127.png,"[22.6348756313525, 26.50009000365125, 36.769024898809676, 51.94864690449589, 44.17259410339163, 38.25571636978173]","[38.25571636978173, 126.15770675033181, 151.4139827764948, 44.17259410339163, 40.0466378784485, 112.43469205271819, 63.70009357498306, 143.81857649385026]"
stars-1858.png,"[19.517909277335775, 11.794781914708205, 35.41158934435284, 13.940346368900942, 37.19397917512628, 61.39835340052865]","[78.7626244051087, 77.09259132873416, 166.41020326415074, 37.73458100200645, 49.52045030701859, 32.74163385498158, 97.73791583799984, 0]"
stars-120.png,"[26.03871115833169, 109.75079938374577, 72.50386634410447, 0.39604746755551434]","[34.7951545981832, 82.31524867139868, 85.87321843336231, 157.01637829705584, 0.0, 0.0, 0, 0]"
stars-1143.png,"[129.25038728256803, 66.5063682756648]","[108.07595347584655, 66.5063682756648, 129.25038728256803, 56.167290965920664, 0, 0, 0, 0]"
stars-411.png,"[51.44847328584363, 163.180824656767, 9.40209646732955, 112.85562736120895, 88.27557095351928, 85.09237346961038]","[82.33896562524038, 61.060935742784174, 140.71817573818618, 75.88192289378931, 10.902616294137196, 165.591675671252, 16.98684241159284, 166.51886562301797]"
stars-1767.png,"[87.0185387800178, 31.57845468785909, 32.091336506861985, 12.708624049044895, 77.85584097861174, 6.2593390268095614]","[58.12009701745026, 61.924772838717324, 138.04425917023858, 101.91087097359386, 33.533307918456536, 17.806883827453376, 164.93811045610838, 143.72169779798173]"
stars-789.png,"[112.40574085864506, 78.86091017014172, 70.68836100265344, 103.6567046983537, 31.40001038197398, 167.8230264590707]","[73.08579137956723, 70.68836100265344, 126.1270773701171, 90.09877024766223, 96.12136742661833, 53.93621002216793, 100.275496325652, 109.66692622556174]"
stars-2481.png,"[26.048137205969866, 38.49034268511966, 15.252602087804297, 83.47185178171434, 8.46711799394654, 19.159493827414682]","[58.10300594598541, 124.49328496167875, 105.1240971160006, 72.27961197633526, 79.23144965279535, 96.58524802102244, 69.42286366341597, 114.76043866276626]"
stars-1047.png,"[25.0499406397912, 1.9149822843716167, 65.43012063219719, 104.2807605690506, 148.10203786035845]","[51.43033730303868, 153.59536009830055, 87.95679422066374, 67.01750837799706, 56.45967163765765, 19.25956779329174, 104.2807605690506, 0]"
stars-1416.png,"[0.24324091226911435, 48.977733238478805]","[49.05526968791477, 82.52891684689271, 48.736590826894044, 179.6792226382978, 0, 0, 0, 0]"
stars-1930.png,"[26.813471087948578, 41.423207782538334, 120.46554491945989, 158.74949449286677, 80.04431411930979, 112.24577354740947]","[28.11213332890636, 80.04431411930979, 158.74949449286677, 93.09405805891711, 5.40291285336891, 35.04789207164325, 140.0340445156758, 179.51515055931355]"
stars-610.png,"[8.364069488401283, 33.498774951320605, 76.1671066616938, 108.78741804813747, 103.10809439559904, 92.78683023626488]","[58.40095612138902, 92.78683023626488, 103.10809439559904, 105.70411924674708, 52.17608949410153, 33.498774951320605, 94.32513555457787, 0]"
stars-144.png,"[85.41993559495495, 0.7048742446200762, 24.99257971726806, 10.76782655984782, 67.61573797751043, 67.82564136977072]","[52.2970714749986, 154.20881165181086, 79.94745050053778, 73.54666637265275, 144.42109234262136, 26.33835601167495, 143.21139684139771, 46.02915480430598]"
stars-592.png,"[84.32377775078413, 15.469625752251067, 90.04114449726356, 24.17515695700976, 0.5270686261674149]","[69.4731363838643, 46.47374008085341, 177.41439568051328, 66.63872785476909, 17.205116812053326, 41.85479571382772, 120.94008747411895, 0]"
stars-1018.png,"[64.3801646519383, 83.63449614108919, 7.391975978617109, 53.359853836042475, 56.05994692839479, 1.2136940077850342]","[118.47084214128434, 41.6556755026986, 89.76820628676317, 110.1052760692539, 53.21683948530987, 79.77946067656694, 88.13420637075897, 138.86949346736424]"
stars-2224.png,"[53.45607299671679, 33.07150210406623, 81.89185631323151, 59.21561637581812, 84.21999439989987, 100.63400366407905]","[67.7699982785342, 109.95414669664747, 141.82443319536088, 40.45142182945744, 92.84377179189015, 50.985537726278565, 125.90503163080041, 90.26565885103089]"
stars-2208.png,"[19.081570610241005, 2.8156626943688963, 169.75439951595158, 11.850605138721036, 74.76385919899485, 37.027800282428856]","[43.34092589858379, 127.61464556882216, 151.55228311942886, 37.4921454131652, 123.3306706270156, 34.351440099421644, 22.317889273562745, 0]"
stars-1485.png,"[3.682545409525238, 119.54027721805888, 61.075782690340375, 3.4885462242231244, 82.2683960957396, 75.41315965607347]","[47.146939365237756, 130.57375427381012, 137.57631959028637, 44.70298677066578, 130.36591447169536, 38.137956519239424, 117.97033993726943, 73.5257890717958]"
stars-088.png,"[113.80215083912898, 2.587003213638553, 99.53857797721886]","[99.53857797721886, 19.15479287402692, 61.30662914875422, 0, 8.537736462515939e-07, 8.537736462515939e-07, 0, 0]"
stars-369.png,"[68.61115718653564, 24.15287952943967]","[95.41356205117451, 68.61115718653564, 24.15287952943967, 171.8224012328502, 0, 0, 0, 0]"
stars-2365.png,"[77.61086127642825, 171.0570366981509, 70.23887154469602, 58.99087742350101, 11.072151561786468, 58.60213240220002]","[70.2496981191816, 61.831576019103856, 150.74141578799149, 77.17731007372306, 90.4388433709322, 92.16719114095102, 133.08967306401067, 44.304292424106116]"
stars-834.png,[],"[0, 0, 0, 0, 0, 0, 0, 0]"
stars-825.png,"[27.945727681382074, 92.90419632593505, 96.62278896525896, 149.65230337632573, 1.392152655769292, 33.574784422974055]","[47.771314356639294, 121.57200500637246, 113.23015843305066, 77.4265222039376, 32.4400494411801, 54.07364817896012, 93.4863023798598, 0]"
stars-1701.png,"[129.3316627898893, 45.83348342739823, 109.46603263516315, 48.25788305613797, 48.63519267702234, 117.00402622950419]","[62.726272472703165, 127.51318337620143, 104.30245761079722, 65.4580865402982, 145.26866633022465, 12.170948228262649, 125.56824368905507, 76.99214175245766]"
