image_name,angles,polygon_angles
stars_297.5_42.5001.png,"[65.3151965775722, 90.94327136204578, 177.88234799778638, 42.397437797500196]","[84.06881018608328, 40.521250080583066, 135.65193761305198, 99.7580021202817, 0.0, 0.0, 0, 0]"
stars_107.5_-27.5001.png,[6.674565842145592],"[6.674565842145592, 8.306075643045627, 165.01935851480889, 0, 0, 0, 0, 0]"
stars_252.5_87.5001.png,[],"[0, 0, 0, 0, 0, 0, 0, 0]"
stars_77.5_77.5001.png,"[19.545876062671926, 44.08080848770842, 95.81572844513875, 117.82830165623331, 43.67076372413036, 37.27530448041265]","[37.33982209156822, 79.86854271281535, 175.70479124398543, 67.08684395163108, 60.92867932437896, 81.15844213174566, 87.35044166131831, 130.56243688255705]"
stars_327.5_-87.5001.png,"[72.83165709688075, 111.00857986912031, 4.363014467058064, 38.23382517744694, 78.31862521260898, 101.68137478739102]","[67.74156353204381, 108.29949805986043, 162.22135831464155, 21.73758009345421, 29.406104990022527, 93.2794449017439, 82.9003395040733, 154.41411060416027]"
stars_117.5_-82.5001.png,"[47.40447051075597, 174.46461885636083, 40.751292178126135, 164.13868222327628, 86.3787505443331, 104.54631787645872]","[75.90241259130579, 104.54631787645872, 90.47821350884476, 89.07305602339075, 60.71036001473782, 107.39168822641109, 92.94596686102727, 98.95198489782383]"
stars_252.5_52.5001.png,"[8.980576632815806, 86.39245860127217, 1.8164032422643328]","[176.07851450183847, 41.09729240107087, 54.32665223992109, 88.49754085716954, 0, 0, 0, 0]"
stars_347.5_-17.5001.png,"[97.9112264081768, 28.72311647015318, 27.579760057122645, 78.00387382752466, 61.40528525793444, 149.08646640787873]","[103.90688879898605, 86.6487916884699, 104.53051596855819, 64.91380354398588, 40.25597485783952, 24.752006770375175, 114.9920183717853, 0]"
stars_212.5_-37.5001.png,"[94.24896235320816, 27.47812727485143, 8.389139078471175, 16.054863882170704, 33.240702743139146, 148.7976950819416]","[94.24896235320816, 116.78045174161227, 91.39584190412135, 57.57474400105825, 26.165394490927394, 79.074472355529, 105.96243807160202, 148.7976950819416]"
stars_82.5_-47.5001.png,"[22.168047570278475, 4.585412445781243, 22.712098741374344, 24.973897793391785, 54.93540933494268, 13.341395981816687]","[52.29030419505519, 58.42032597368598, 144.56739737861605, 104.72197245264279, 60.42216131873867, 140.43338119038535, 104.69430096029859, 54.4501565305774]"
stars_337.5_-62.5001.png,"[21.64480635168229, 155.28166936898853, 128.97959756736728, 28.68339798492447]","[79.67193310409908, 91.8466686048646, 46.10071692597859, 142.38068136505774, 0.0, 0.0, 0, 0]"
