image_path,raan,dec
/content/star-images/stars-471.png,0,-90
/content/star-images/stars-1557.png,0,-85
/content/star-images/stars-075.png,0,-80
/content/star-images/stars-1937.png,0,-75
/content/star-images/stars-2109.png,0,-70
/content/star-images/stars-900.png,0,-65
/content/star-images/stars-1676.png,0,-60
/content/star-images/stars-1046.png,0,-55
/content/star-images/stars-1538.png,0,-50
/content/star-images/stars-670.png,0,-45
/content/star-images/stars-1933.png,0,-40
/content/star-images/stars-543.png,0,-35
/content/star-images/stars-260.png,0,-30
/content/star-images/stars-1998.png,0,-25
/content/star-images/stars-915.png,0,-20
/content/star-images/stars-1506.png,0,-15
/content/star-images/stars-2587.png,0,-10
/content/star-images/stars-2185.png,0,-5
/content/star-images/stars-2413.png,0,0
/content/star-images/stars-1988.png,0,5
/content/star-images/stars-381.png,0,10
/content/star-images/stars-1759.png,0,15
/content/star-images/stars-011.png,0,20
/content/star-images/stars-2551.png,0,25
/content/star-images/stars-1844.png,0,30
/content/star-images/stars-005.png,0,35
/content/star-images/stars-516.png,0,40
/content/star-images/stars-1574.png,0,45
/content/star-images/stars-641.png,0,50
/content/star-images/stars-911.png,0,55
/content/star-images/stars-393.png,0,60
/content/star-images/stars-940.png,0,65
/content/star-images/stars-2226.png,0,70
/content/star-images/stars-2093.png,0,75
/content/star-images/stars-1991.png,0,80
/content/star-images/stars-2074.png,0,85
/content/star-images/stars-1085.png,5,-90
/content/star-images/stars-001.png,5,-85
/content/star-images/stars-2336.png,5,-80
/content/star-images/stars-1094.png,5,-75
/content/star-images/stars-146.png,5,-70
/content/star-images/stars-1120.png,5,-65
/content/star-images/stars-2382.png,5,-60
/content/star-images/stars-1075.png,5,-55
/content/star-images/stars-095.png,5,-50
/content/star-images/stars-2125.png,5,-45
/content/star-images/stars-1365.png,5,-40
/content/star-images/stars-607.png,5,-35
/content/star-images/stars-1229.png,5,-30
/content/star-images/stars-2344.png,5,-25
/content/star-images/stars-2579.png,5,-20
/content/star-images/stars-1771.png,5,-15
/content/star-images/stars-309.png,5,-10
/content/star-images/stars-756.png,5,-5
/content/star-images/stars-2288.png,5,0
/content/star-images/stars-1668.png,5,5
/content/star-images/stars-189.png,5,10
/content/star-images/stars-1673.png,5,15
/content/star-images/stars-1889.png,5,20
/content/star-images/stars-1871.png,5,25
/content/star-images/stars-718.png,5,30
/content/star-images/stars-2329.png,5,35
/content/star-images/stars-2368.png,5,40
/content/star-images/stars-2516.png,5,45
/content/star-images/stars-1743.png,5,50
/content/star-images/stars-744.png,5,55
/content/star-images/stars-1064.png,5,60
/content/star-images/stars-142.png,5,65
/content/star-images/stars-1018.png,5,70
/content/star-images/stars-621.png,5,75
/content/star-images/stars-1439.png,5,80
/content/star-images/stars-780.png,5,85
/content/star-images/stars-488.png,10,-90
/content/star-images/stars-366.png,10,-85
/content/star-images/stars-2207.png,10,-80
/content/star-images/stars-2124.png,10,-75
/content/star-images/stars-972.png,10,-70
/content/star-images/stars-496.png,10,-65
